system:index,.geo
00000000000000000095,"{""type"":""Point"",""coordinates"":[-8.643992570754717,41.17374723502304]}"
00000000000000000096,"{""type"":""Point"",""coordinates"":[-8.638252948113209,41.17374723502304]}"
00000000000000000097,"{""type"":""Point"",""coordinates"":[-8.632513325471699,41.17374723502304]}"
00000000000000000098,"{""type"":""Point"",""coordinates"":[-8.626773702830189,41.17374723502304]}"
00000000000000000099,"{""type"":""Point"",""coordinates"":[-8.62103408018868,41.17374723502304]}"
00000000000000000100,"{""type"":""Point"",""coordinates"":[-8.61529445754717,41.17374723502304]}"
00000000000000000101,"{""type"":""Point"",""coordinates"":[-8.60955483490566,41.17374723502304]}"
00000000000000000102,"{""type"":""Point"",""coordinates"":[-8.603815212264152,41.17374723502304]}"
00000000000000000103,"{""type"":""Point"",""coordinates"":[-8.598075589622642,41.17374723502304]}"
00000000000000000104,"{""type"":""Point"",""coordinates"":[-8.592335966981132,41.17374723502304]}"
00000000000000000105,"{""type"":""Point"",""coordinates"":[-8.586596344339624,41.17374723502304]}"
00000000000000000106,"{""type"":""Point"",""coordinates"":[-8.66730978773585,41.17807534562212]}"
00000000000000000107,"{""type"":""Point"",""coordinates"":[-8.647221108490566,41.17807534562212]}"
00000000000000000108,"{""type"":""Point"",""coordinates"":[-8.641481485849058,41.17807534562212]}"
00000000000000000109,"{""type"":""Point"",""coordinates"":[-8.614577004716981,41.17807534562212]}"
00000000000000000110,"{""type"":""Point"",""coordinates"":[-8.608837382075473,41.17807534562212]}"
00000000000000000111,"{""type"":""Point"",""coordinates"":[-8.603097759433963,41.17807534562212]}"
00000000000000000112,"{""type"":""Point"",""coordinates"":[-8.597358136792453,41.17807534562212]}"
00000000000000000113,"{""type"":""Point"",""coordinates"":[-8.591618514150944,41.17807534562212]}"
00000000000000000114,"{""type"":""Point"",""coordinates"":[-8.585878891509434,41.17807534562212]}"
00000000000000000115,"{""type"":""Point"",""coordinates"":[-8.579063089622641,41.17807534562212]}"
00000000000000000116,"{""type"":""Point"",""coordinates"":[-8.611348466981132,41.182403456221195]}"
00000000000000000117,"{""type"":""Point"",""coordinates"":[-8.605608844339622,41.182403456221195]}"
00000000000000000118,"{""type"":""Point"",""coordinates"":[-8.599869221698114,41.182403456221195]}"
00000000000000000119,"{""type"":""Point"",""coordinates"":[-8.594488325471698,41.13858133640553]}"
00000000000000000120,"{""type"":""Point"",""coordinates"":[-8.586955070754717,41.14236843317972]}"
00000000000000000121,"{""type"":""Point"",""coordinates"":[-8.579063089622641,41.14236843317972]}"
00000000000000000122,"{""type"":""Point"",""coordinates"":[-8.57404091981132,41.14236843317972]}"
00000000000000000123,"{""type"":""Point"",""coordinates"":[-8.670179599056604,41.146155529953916]}"
00000000000000000124,"{""type"":""Point"",""coordinates"":[-8.665157429245284,41.146155529953916]}"
00000000000000000125,"{""type"":""Point"",""coordinates"":[-8.660135259433963,41.146155529953916]}"
00000000000000000126,"{""type"":""Point"",""coordinates"":[-8.655113089622642,41.146155529953916]}"
00000000000000000127,"{""type"":""Point"",""coordinates"":[-8.650090919811321,41.146155529953916]}"
00000000000000000128,"{""type"":""Point"",""coordinates"":[-8.580139268867924,41.146155529953916]}"
00000000000000000129,"{""type"":""Point"",""coordinates"":[-8.575117099056603,41.146155529953916]}"
00000000000000000130,"{""type"":""Point"",""coordinates"":[-8.570094929245283,41.146155529953916]}"
00000000000000000131,"{""type"":""Point"",""coordinates"":[-8.671614504716981,41.14994262672811]}"
00000000000000000132,"{""type"":""Point"",""coordinates"":[-8.657265448113208,41.14994262672811]}"
00000000000000000133,"{""type"":""Point"",""coordinates"":[-8.652243278301887,41.14994262672811]}"
00000000000000000134,"{""type"":""Point"",""coordinates"":[-8.577986910377358,41.14994262672811]}"
00000000000000000135,"{""type"":""Point"",""coordinates"":[-8.572964740566038,41.14994262672811]}"
00000000000000000136,"{""type"":""Point"",""coordinates"":[-8.567942570754717,41.14994262672811]}"
00000000000000000137,"{""type"":""Point"",""coordinates"":[-8.562920400943396,41.14994262672811]}"
00000000000000000138,"{""type"":""Point"",""coordinates"":[-8.679506485849057,41.1537297235023]}"
00000000000000000139,"{""type"":""Point"",""coordinates"":[-8.66730978773585,41.1537297235023]}"
00000000000000000140,"{""type"":""Point"",""coordinates"":[-8.662287617924529,41.1537297235023]}"
00000000000000000141,"{""type"":""Point"",""coordinates"":[-8.657265448113208,41.1537297235023]}"
00000000000000000142,"{""type"":""Point"",""coordinates"":[-8.652243278301887,41.1537297235023]}"
00000000000000000143,"{""type"":""Point"",""coordinates"":[-8.571171108490566,41.1537297235023]}"
