system:index,class,.geo
00000000000000000106,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.222592]}"
00000000000000000107,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.221624]}"
00000000000000000108,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.220656]}"
00000000000000000109,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.219688000000001]}"
00000000000000000110,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.218720000000001]}"
00000000000000000111,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.217752]}"
00000000000000000112,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.216784]}"
00000000000000000113,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.215816]}"
00000000000000000114,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.214848]}"
00000000000000000115,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.213880000000001]}"
00000000000000000116,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.212912000000001]}"
00000000000000000117,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.211944]}"
00000000000000000118,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.210976]}"
00000000000000000119,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.210008]}"
00000000000000000120,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.20904]}"
00000000000000000121,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.208072000000001]}"
00000000000000000122,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.207104000000001]}"
00000000000000000123,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.206136]}"
00000000000000000124,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.205168]}"
00000000000000000125,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.2042]}"
00000000000000000126,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.203232]}"
00000000000000000127,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.202264000000001]}"
00000000000000000128,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.201296000000001]}"
00000000000000000129,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.200328]}"
00000000000000000130,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.19936]}"
00000000000000000131,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.198392]}"
00000000000000000132,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.197424]}"
00000000000000000133,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.196456000000001]}"
00000000000000000134,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.195488000000001]}"
00000000000000000135,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.19452]}"
00000000000000000136,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.193552]}"
00000000000000000137,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.192584]}"
00000000000000000138,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.191616]}"
00000000000000000139,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.190648000000001]}"
00000000000000000140,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.189680000000001]}"
00000000000000000141,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.188712]}"
00000000000000000142,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.187744]}"
00000000000000000143,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.186776]}"
00000000000000000144,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.185808]}"
00000000000000000145,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.184840000000001]}"
00000000000000000146,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.183872000000001]}"
00000000000000000147,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.182904]}"
00000000000000000148,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.181936]}"
00000000000000000149,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.180968]}"
00000000000000000150,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.18]}"
00000000000000000151,2,"{""type"":""Point"",""coordinates"":[-39.021,-12.179032000000001]}"
