system:index,.geo
00000000000000000140,"{""type"":""Point"",""coordinates"":[-38.95184021739131,-12.257925348189415]}"
00000000000000000141,"{""type"":""Point"",""coordinates"":[-38.95184021739131,-12.241747075208915]}"
00000000000000000142,"{""type"":""Point"",""coordinates"":[-38.95156413043478,-12.25900389972145]}"
00000000000000000143,"{""type"":""Point"",""coordinates"":[-38.95156413043478,-12.242825626740947]}"
00000000000000000144,"{""type"":""Point"",""coordinates"":[-38.951288043478264,-12.2606217270195]}"
00000000000000000145,"{""type"":""Point"",""coordinates"":[-38.951288043478264,-12.244443454038999]}"
00000000000000000146,"{""type"":""Point"",""coordinates"":[-38.95101195652174,-12.263048467966575]}"
00000000000000000147,"{""type"":""Point"",""coordinates"":[-38.95101195652174,-12.246870194986073]}"
00000000000000000148,"{""type"":""Point"",""coordinates"":[-38.95073586956522,-12.266284122562675]}"
00000000000000000149,"{""type"":""Point"",""coordinates"":[-38.95073586956522,-12.250105849582173]}"
00000000000000000150,"{""type"":""Point"",""coordinates"":[-38.9504597826087,-12.270059052924791]}"
00000000000000000151,"{""type"":""Point"",""coordinates"":[-38.9504597826087,-12.253880779944291]}"
00000000000000000152,"{""type"":""Point"",""coordinates"":[-38.9504597826087,-12.237702506963789]}"
00000000000000000153,"{""type"":""Point"",""coordinates"":[-38.95018369565218,-12.257925348189415]}"
00000000000000000154,"{""type"":""Point"",""coordinates"":[-38.95018369565218,-12.241747075208915]}"
00000000000000000155,"{""type"":""Point"",""coordinates"":[-38.94990760869565,-12.262509192200557]}"
00000000000000000156,"{""type"":""Point"",""coordinates"":[-38.94990760869565,-12.246330919220057]}"
00000000000000000157,"{""type"":""Point"",""coordinates"":[-38.949631521739136,-12.267632311977717]}"
00000000000000000158,"{""type"":""Point"",""coordinates"":[-38.949631521739136,-12.251454038997215]}"
00000000000000000159,"{""type"":""Point"",""coordinates"":[-38.949631521739136,-12.235275766016715]}"
00000000000000000160,"{""type"":""Point"",""coordinates"":[-38.94935543478261,-12.256846796657383]}"
00000000000000000161,"{""type"":""Point"",""coordinates"":[-38.94935543478261,-12.24066852367688]}"
00000000000000000162,"{""type"":""Point"",""coordinates"":[-38.94907934782609,-12.263318105849583]}"
00000000000000000163,"{""type"":""Point"",""coordinates"":[-38.94907934782609,-12.247139832869081]}"
00000000000000000164,"{""type"":""Point"",""coordinates"":[-38.94880326086957,-12.2703286908078]}"
